npl,total assets,debt to equity,ROA,Tier 1 capital ratio,net charge offs,total loans,TBTF ,Bank,date,risk based capital ratio,total liabilities,total interest expense,total debt,interest rate,total equity,ROE,equity assets ratio,NPL_tot_loans,tot_loans_tot_assets,loan deposit ratio
76.4,159839.6,78.8902,0.9648,11.1,4.5,43991.9,0,Northern Trust,2022-09-30,12.2,148809.2,286.3,8701.9,0.032900861,11030.4,13.84,0.069009182,0.001736683,0.275225288,34.2223
45.9,155036.7,69.9916,0.7884,11.8,4.95,42893.3,0,Northern Trust,2022-12-31,13.9,143777.2,635.6,7880.7,0.080652734,11259.5,11.4795,0.07262474,0.001070097,0.276665461,34.6103
48.9,151108,83.625,0.7917,12.3,2.9,42369.5,0,Northern Trust,2023-03-31,14.4,139520.2,924.2,9690.3,0.095373724,11587.8,11.1429,0.076685549,0.001154132,0.28039217,37.2553
47.1,156752.5,129.9759,0.7738,12.3,2.4,43546.7,0,Northern Trust,2023-06-30,14.4,145116.8,1223.5,15123.6,0.08090005,11635.7,10.719,0.074229757,0.001081597,0.277805458,38.4676
68.8,146330.6,108.3361,0.7512,12.4,1.9,43577,0,Northern Trust,2023-09-30,14.5,134483.4,1478.8,12834.8,0.115218001,11847.2,10.0526,0.080961877,0.001578815,0.297798273,39.5558
63.6,150783.1,145.6501,0.7242,12.3,2.4,47617,0,Northern Trust,2023-12-31,14.2,138885.2,1716.5,17329.3,0.099051895,11897.9,9.5632,0.078907384,0.001335657,0.315797991,40.9912
37,156111,135.9352,0.6428,12.4,10.4,47342.6,0,Northern Trust,2024-03-31,14.2,144009.2,1917.5,16450.6,0.116561098,12101.8,8.3361,0.077520482,0.000781537,0.303262422,38.1975
38.5,156797.1,131.768,0.9898,13.5664,-0.1,42135.2,0,Northern Trust,2024-06-30,15.5307,144141.3,1983.6,16676.3,0.118947248,12655.8,12.7757,0.080714503,0.000913725,0.268724358,34.2588
39.3,155753.8,131.2574,1.1181,13.6,-2.4,41950.3,0,Northern Trust,2024-09-30,15.6,143004.8,1967.9,16734,0.1175989,12749,13.7322,0.081853541,0.000936823,0.269337249,34.6172
56,155508.4,125.8836,1.3263,13.3,3.4,43390.6,1,Northern Trust,2024-12-31,15.1,142720,1716.2,16098.5,0.106606206,12788.4,16.4553,0.082236072,0.001290602,0.279024156,35.4259
1619,371289,127.6349,1.5976,11.4,341,240218,1,US Bank,2014-03-31,13.5,328546,372,54555,0.006818807,42743,14.2306,0.115120566,0.006739711,0.646983886,92.1746
1596,389065,126.7506,1.5666,11.3,349,246892,1,US Bank,2014-06-30,13.2,345679,358,54992,0.006510038,43386,14.1194,0.1115135,0.006464365,0.63457777,89.3688
1567,391284,138.7506,1.5477,11.3,336,249530,1,US Bank,2014-09-30,13.6,347455,365,60813,0.006002006,43829,13.9757,0.112013269,0.006279806,0.637720939,91.3705
1466,402529,140.7195,1.5266,11.3,308,252643,1,US Bank,2014-12-31,13.6,358361,358,62153,0.005759979,44168,13.8335,0.109726256,0.005802654,0.627639251,89.3575
1350,410233,140.8429,1.506,11.1,279,253313,1,US Bank,2015-03-31,13.3,365268,363,63330,0.005731881,44965,13.6336,0.109608442,0.005329375,0.617485673,88.3852
1239,419075,136.9083,1.4535,11,296,257137,1,US Bank,2015-06-30,13.1,373844,352,61925,0.005684296,45231,13.4645,0.107930561,0.004818443,0.613582294,86.6224
1242,415943,129.8294,1.4596,11.1,292,259263,1,US Bank,2015-09-30,13.1,370176,349,59419,0.005873542,45767,13.3559,0.110031903,0.004790502,0.623313771,87.8072
1192,421853,128.0625,1.4263,11.3,305,264033,1,US Bank,2015-12-31,13.3,375036,337,59955,0.005620882,46817,13.1213,0.110979417,0.004514587,0.625888639,87.8938
1425,428638,123.7503,1.3909,11.1,315,268527,1,US Bank,2016-03-31,13.1,381245,386,58649,0.006581527,47393,12.8175,0.110566492,0.005306729,0.626465689,87.6542
1389,438463,115.2928,1.3697,11.1,317,272832,1,US Bank,2016-06-30,13.4,390434,407,55374,0.00735002,48029,12.7775,0.109539459,0.005091045,0.622246347,85.907
1400,454134,110.8969,1.353,11.1,315,276864,1,US Bank,2016-09-30,13.3,405735,427,53673,0.007955583,48399,12.6807,0.106574271,0.005056634,0.609652658,82.746
1368,445964,98.6502,1.357,11,322,278033,1,US Bank,2016-12-31,13.2,398031,419,47286,0.008860974,47933,12.6042,0.10748177,0.004920279,0.623442699,83.0966
1290,449522,99.3765,1.3608,11,335,276315,1,US Bank,2017-03-31,13.3,401089,413,48131,0.008580748,48433,12.6384,0.107743336,0.004668585,0.614686267,82.0235
1142,463844,106.6947,1.3195,11.1,340,280944,1,US Bank,2017-06-30,13.2,414895,470,52226,0.008999349,48949,12.4397,0.105529014,0.004064867,0.605686395,80.9026
1035,459227,102.0668,1.3169,11.1,330,282476,1,US Bank,2017-09-30,13.2,409876,528,50371,0.010482222,49351,12.4666,0.107465371,0.003664028,0.615111916,82.4533
1008,462040,98.4778,1.3696,10.8,325,283986,1,US Bank,2017-12-31,12.9,412374,555,48910,0.011347373,49666,12.9087,0.107492858,0.003549471,0.614635097,81.7897
1024,460119,102.1922,1.4115,10.4,341,282688,1,US Bank,2018-03-31,12.5,410307,623,50904,0.012238724,49812,13.2392,0.10825895,0.003622368,0.614380193,82.0513
912,461329,110.0503,1.4419,10.5,332,283433,1,US Bank,2018-06-30,12.6,411072,751,55308,0.013578506,50257,13.6195,0.108939607,0.003217692,0.614383661,83.343
813,464607,126.9669,1.4985,10.6,328,285994,1,US Bank,2018-09-30,12.6,413600,872,64762,0.013464686,51007,13.97,0.109785259,0.002842717,0.615561109,86.3566
817,467374,107.3988,1.527,10.7,353,288866,1,US Bank,2018-12-31,12.6,415717,1008,55479,0.018169037,51657,14.1822,0.110526046,0.002828301,0.618061766,83.6142
858,475775,109.084,1.5215,10.9,367,290424,1,US Bank,2019-03-31,12.8,423089,1092,57472,0.019000557,52686,14.065,0.110737218,0.002954301,0.610422994,83.4343
803,481719,107.2488,1.5251,14.3,350,295847,1,US Bank,2019-06-30,13,428179,1146,57421,0.019957855,53540,14.0256,0.111143634,0.002714241,0.614148497,83.7673
829,487671,105.0695,1.5298,11.2,352,299166,1,US Bank,2019-09-30,13.2,433524,1156,56892,0.020319201,54147,14.0223,0.111031823,0.002771037,0.613458664,83.1675
692,495426,123.7277,1.4362,10.7,385,301680,1,US Bank,2019-12-31,12.7,442943,1048,64936,0.016138968,52483,13.4406,0.105935094,0.002293821,0.608930496,83.3564
815,542909,150.7649,1.2538,10.5,393,322928,1,US Bank,2020-03-31,12.7,490747,893,78642,0.011355255,52162,12.3295,0.096078717,0.002523782,0.594810548,81.7842
1071,546652,120.3773,1.0218,10.6,437,318513,1,US Bank,2020-06-30,12.8,494172,472,63174,0.007471428,52480,10.0303,0.096002576,0.0033625,0.582661364,77.0647
1181,540455,105.5851,0.9582,11,515,314603,1,US Bank,2020-09-30,13.1,487260,346,56166,0.006160311,53195,9.2872,0.098426326,0.003753938,0.582107669,76.1351
1224,553905,101.0647,0.9452,11.3,441,306468,1,US Bank,2020-12-31,13.4,500180,304,54297,0.005598836,53725,9.4504,0.096993167,0.003993892,0.553286213,71.3098
1128,553375,94.6643,1.107,11.5,223,303418,1,US Bank,2021-03-31,13.5,501067,278,49517,0.005614233,52308,11.7586,0.094525412,0.003717644,0.548304495,69.9505
1018,558886,92.732,1.3317,11.5,180,302768,1,US Bank,2021-06-30,13.4,505212,245,49773,0.004922347,53674,14.0358,0.096037475,0.00336231,0.541734808,69.2545
906,567495,95.1837,1.4096,11.7,147,303799,1,US Bank,2021-09-30,13.4,513117,238,51759,0.004598234,54378,14.6913,0.095821109,0.002982235,0.535333351,68.5928
834,573284,81.4108,1.4129,11.6,132,319803,1,US Bank,2021-12-31,13.4,517897,232,45091,0.005145151,55387,14.7445,0.096613546,0.002607855,0.557843931,70.1195
765,586517,104.4612,1.2703,11.5,162,322255,1,US Bank,2022-03-31,13.4,534849,245,53973,0.004539307,51668,14.0749,0.088092928,0.002373896,0.549438465,69.8208
725,591381,110.8052,1.1804,11.4,153,336312,1,US Bank,2022-06-30,13.2,542312,390,54371,0.007172941,49069,13.3584,0.082973582,0.002155736,0.568689221,71.9997
630,600973,119.4172,1.1251,11.2,162,346355,1,US Bank,2022-09-30,13.3,552995,901,57294,0.015725905,47978,12.9829,0.079833869,0.001818943,0.576323728,73.513
972,674805,141.601,0.9334,9.8,578,390413,1,US Bank,2022-12-31,11.9,623573,1681,72545,0.023171824,51232,11.0234,0.075921192,0.002489671,0.578556768,74.3678
1139,682377,185.0563,0.9403,10,373,390247,1,US Bank,2023-03-31,12.1,628923,2330,98920,0.023554387,53454,11.4523,0.078334997,0.002918664,0.571893543,77.2248
1041,680825,145.1219,0.9112,10.6,649,381789,1,US Bank,2023-06-30,12.7,627341,3111,77617,0.040081425,53484,11.4068,0.078557632,0.002726637,0.560774061,73.1957
1267,729625,236.2164,0.8277,11.2,420,439156,1,US Bank,2023-09-30,13.4,676047,3518,126560,0.027797092,53578,10.9455,0.073432243,0.00288508,0.601892753,84.7206
1449,663491,122.223,0.8113,11.5,463,376036,1,US Bank,2023-12-31,13.7,607720,3652,68165,0.053575882,55771,10.2364,0.084056905,0.003853354,0.566753731,73.3998
1741,683606,124.5605,0.7394,11.6,488,376668,1,US Bank,2024-03-31,13.7,627573,3779,69795,0.05414428,56033,9.3039,0.081966805,0.004622108,0.5510016,71.3301
1810,680058,121.7843,0.7777,11.9,538,378715,1,US Bank,2024-06-30,14,623173,3962,69277,0.057190698,56885,9.6711,0.083647277,0.00477932,0.556886324,72.3035
1809,686469,132.4101,0.7744,12.2,564,377375,1,US Bank,2024-09-30,14.2,627148,3951,78547,0.050301094,59321,9.7935,0.086414682,0.00479364,0.549733491,72.4146
1793,678318,126.8445,0.9389,12.2,562,382405,1,US Bank,2024-12-31,14.3,619278,3685,74889,0.049206158,59040,11.0621,0.087038822,0.004688746,0.563754758,73.7793
327.158,73.7512,1.0873,11.95,42.986,44649.22,44649.22,0,Huntington,2014-03-31,14.13,54969.519,34.949,4555.045,0.007672592,6176.234,10.5809,0.143467496,0.007327295,605.4033019,90.4769
324.957,123.7305,1.0854,11.56,28.643,46397.637,46397.637,0,Huntington,2014-06-30,13.67,57556.322,35.274,7721.761,0.004568129,6240.791,10.8242,0.087482068,0.00700374,374.9894893,95.1771
325.765,107.5,1.0365,11.61,30.023,47134.306,47134.306,0,Huntington,2014-09-30,13.72,58046.419,34.725,6755.526,0.005140236,6284.21,10.2394,0.095250233,0.00691142,438.4586605,94.0245
300.244,106.3983,1.0057,11.5,22.975,48072.053,48072.053,0,Huntington,2014-12-31,13.56,59969.84,34.373,6733.063,0.005105106,6328.17,10.1848,0.095723334,0.006245708,451.8122282,92.9249
364.413,110.8964,1.0052,10.22,24.432,49316.184,49316.184,0,Huntington,2015-03-31,12.48,61540.707,34.411,7166.072,0.004801933,6461.954,10.2721,0.092627894,0.007389319,444.7050039,93.3441
364.339,113.3888,1.0264,10.41,25.375,49300.355,49300.355,0,Huntington,2015-06-30,12.62,62349.39,39.109,7366.028,0.005309374,6496.258,10.6883,0.094262396,0.00739019,434.7903408,92.1964
356.477,118.6949,1.0083,10.49,16.163,50331.545,50331.545,0,Huntington,2015-09-30,12.7,63627.541,43.022,7813.257,0.005506282,6582.637,10.5428,0.088822687,0.007082576,424.0413447,92.7861
371.581,116.1046,1.0093,10.53,21.823,50815.72,50815.72,0,Huntington,2015-12-31,12.64,64423.695,47.242,7656.643,0.006170067,6594.606,10.7246,0.092370156,0.007312324,437.6718924,91.8993
498.734,117.4514,0.9931,10.99,8.552,52107.023,52107.023,0,Huntington,2016-03-31,13.17,65487.297,54.185,8406.787,0.006445388,7157.67,10.256,0.087321224,0.009571339,443.6475257,93.6691
460.547,131.6926,0.9478,11.37,16.755,53330.414,53330.414,0,Huntington,2016-06-30,13.49,66446.713,59.777,9886.565,0.006046286,7507.304,9.6654,0.073393646,0.008635729,404.961357,96.8878
381.942,107.3163,0.7617,10.4,40.065,69718.963,69718.963,0,Huntington,2016-09-30,12.56,90378.647,68.956,11146.689,0.006186232,10386.765,7.6746,0.071513833,0.005478309,649.6586539,90.0702
398.615,116.4338,0.8338,10.92,43.524,67475,67475,0,Huntington,2016-12-31,13.05,89406,79.877,12002,0.006655307,10308,8.4226,0.072338101,0.005907595,579.5138525,89.2432
401,101.0101,0.8669,11.11,39,67616.507,67616.507,0,Huntington,2017-03-31,13.26,89608.359,90,10542.57,0.008536818,10437.147,8.5083,0.084232171,0.005930505,669.403426,87.3344
364.456,122.8564,0.9648,11.24,36.04,68807.387,68807.387,0,Huntington,2017-06-30,13.33,90752.597,101,13089.348,0.007716198,10654.182,9.3161,0.075829179,0.005296757,560.0635132,90.6155
338,103.0976,0.9805,11.3,43,69239.03,69239.03,0,Huntington,2017-09-30,13.39,91289.277,115,11030.256,0.010425869,10698.849,9.4279,0.091446358,0.00488164,671.5872144,88.2643
349,131.8846,1.1643,11.34,41,70605,70605,0,Huntington,2017-12-31,13.39,93371,124.149,14262,0.00870488,10814,11.2395,0.085222232,0.004942993,535.3543932,91.646
383,101.4503,1.2776,12,38,71669,71669,0,Huntington,2018-03-31,13.99,92938,144,11472,0.012552301,11308,12.0027,0.118311134,0.005344012,706.4444363,90.1826
378,106.0669,1.3426,11.99,28,73115,73115,0,Huntington,2018-06-30,13.97,93886,188,12168,0.015450362,11472,12.5462,0.118285723,0.005169938,689.3290932,91.868
370,98.1617,1.4361,11.33,29,74162,74162,0,Huntington,2018-09-30,13.36,94718,205,10733,0.019099972,10934,13.7846,0.140427478,0.004989078,755.508513,90.7858
340,95.8566,1.3082,11.06,50,75704,75704,0,Huntington,2018-12-31,12.98,97679,223,10642,0.020954708,11102,12.7122,0.132616846,0.004491176,789.7630419,89.301
417,109.2547,1.3415,11.25,71,75772,75772,0,Huntington,2019-03-31,13.11,96771,248,12490,0.019855885,11432,12.533,0.1147136,0.005503352,693.5353811,92.2305
425,114.5183,1.3427,11.28,48,75811,75811,0,Huntington,2019-06-30,13.13,96579,256,13362,0.019158809,11668,12.3941,0.108228117,0.005606047,661.9989993,93.7304
438,103.0481,1.3322,11.41,73,75956,75956,0,Huntington,2019-09-30,13.29,96826,253,12272,0.020616037,11909,12.5027,0.121328778,0.005766496,737.0926781,92.1852
468,107.571,1.2958,11.26,73,76281,76281,0,Huntington,2019-12-31,13.04,97207,231,12688,0.018206179,11795,12.3248,0.11457363,0.006135211,709.1223471,92.6336
558,107.2479,0.9914,10.81,117,79032,79032,0,Huntington,2020-03-31,12.74,102128,185,12622,0.014656948,11769,9.491,0.088495905,0.007060431,736.9095339,91.0192
648,80.3882,0.7826,11.79,107,81304,81304,0,Huntington,2020-06-30,13.84,106111,110,9899,0.011112234,12314,7.3972,0.09201848,0.007970088,1011.392219,86.7789
569,72.7413,0.7149,12.37,113,82459,82459,0,Huntington,2020-09-30,14.39,107199,75,9396,0.00798212,12917,6.5899,0.090593652,0.006900399,1133.592608,86.6585
532,67.3824,0.7042,12.47,112,82883,82883,0,Huntington,2020-12-31,14.46,110045,53,8755,0.006053684,12993,6.5919,0.097828216,0.006418687,1230.039298,83.7642
516,54.625,1.0857,13.32,64,81767,81767,0,Huntington,2021-03-31,15.25,112168,75,7429,0.010095571,13600,10.2566,0.187763844,0.006310614,1496.878719,80.0194
977,37.665,0.7738,12.25,62,113296,113296,0,Huntington,2021-06-30,14.15,154641,97,7733,0.012543644,20531,6.9216,0.183767423,0.008623429,3007.991504,79.3362
861,42.1252,0.8231,11.35,55,111902,111902,0,Huntington,2021-09-30,13.57,154379,45,8214,0.005478451,19499,7.4701,0.177330909,0.007694232,2656.414688,78.8609
716,40.8065,0.8718,10.99,34,113596,113596,0,Huntington,2021-12-31,13.14,154746,50,7883,0.006342763,19318,8.0211,0.196564273,0.006303039,2783.772193,79.2919
682,38.7425,0.8083,10.84,19,113887,113887,0,Huntington,2022-03-31,13.03,158375,49,7160,0.006843575,18481,7.6313,0.196974898,0.005988392,2939.588307,77.4926
657,60.7042,1.0041,10.63,8,117190,117190,0,Huntington,2022-06-30,12.81,160803,70,10914,0.00641378,17979,9.2405,0.152221757,0.00560628,1930.508927,80.579
602,61.697,1.1288,10.84,44,119040,119040,0,Huntington,2022-09-30,13.05,162231,185,10594,0.017462715,17171,10.8917,0.176535326,0.005057124,1929.429308,81.3598
569,68.1749,1.2539,10.9,50,120052,120052,0,Huntington,2022-12-31,13.09,165137,392,12114,0.032359254,17769,12.0881,0.177310124,0.004739613,1760.941344,81.1634
533,106.1613,1.3008,11.3,57,121636,121636,0,Huntington,2023-03-31,13.53,170259,619,19970,0.030996495,18811,12.7923,0.120498713,0.004381926,1145.765924,83.7264
510,87.0103,1.3069,11.58,49,121770,121770,0,Huntington,2023-06-30,13.82,169667,879,16391,0.05362699,18838,13.0655,0.150160383,0.004188224,1399.489486,82.2615
592,72.871,1.2856,11.87,73,121456,121456,0,Huntington,2023-09-30,14.11,168120,945,13503,0.069984448,18530,13.212,0.181306693,0.004874193,1666.726132,81.5869
667,69.0432,1.0482,11.98,94,122498,122498,0,Huntington,2023-12-31,14.17,169970,1034,13393,0.07720451,19398,10.5221,0.152398788,0.005444987,1774.222516,81.0011
716,77.8196,0.9242,12,92,123257,123257,0,Huntington,2024-03-31,14.1,174146,1093,15076,0.072499337,19373,9.2857,0.11932341,0.005809001,1583.881182,80.4418
733,85.0994,0.8747,12.1,90,125090,125090,0,Huntington,2024-06-30,14.3,176747,1164,16648,0.069918309,19563,8.7878,0.103265123,0.005859781,1469.928108,81.0342
738,80.0116,0.8539,12.1,93,127042,127042,0,Huntington,2024-09-30,14.1,179883,1204,16524,0.072863713,20652,8.4576,0.105704673,0.005809103,1587.79477,80.2281
783,85.6991,0.9858,11.9,97,130696,130696,0,Huntington,2024-12-31,14.3,184448,1115,16953,0.06577007,19782,9.9251,0.115813352,0.005991002,1525.056856,80.4541
401.666,56080.844,38.3715,0.4615,13.19,8,39324.48,0,Zion,2014-03-31,15.11,49494.628,51.103,2527.231,0.020220945,6586.216,3.9296,0.117441456,0.010214147,0.70121056,84.5105
321.994,55111.275,34.134,0.5287,13,6.186,39794.737,0,Zion,2014-06-30,14.9,48411.185,46.908,2287.009,0.020510632,6700.09,4.289,0.121573852,0.008091371,0.722079774,87.1342
307.23,55458.87,18.9132,0.4974,14.43,10.962,39848.934,0,Zion,2014-09-30,16.28,48136.711,43.457,1384.852,0.031380249,7322.159,4.0304,0.132028637,0.007709867,0.718531301,86.1313
307,57208.874,19.2357,0.7037,14.47,17.093,40196.162,0,Zion,2014-12-31,16.27,49839.344,31.53,1417.581,0.022242115,7369.53,5.7606,0.128817952,0.007637545,0.7026211,84.0079
382.066,57555.931,18.4485,0.6851,14.16,-16.882,40309.06,0,Zion,2015-03-31,16.22,50101.633,31.1,1375.205,0.02261481,7454.298,5.5451,0.129513985,0.009478415,0.700345895,83.7619
372.83,58365.459,18.0344,0.5,14.26,11.242,40176.432,0,Zion,2015-06-30,16.32,50835.284,31.532,1358.023,0.023219047,7530.175,3.9871,0.129017661,0.009279819,0.688359737,82.0981
359.272,58410.927,17.0007,0.5072,14.41,31.197,40252.245,0,Zion,2015-09-30,16.46,50772.832,30.853,1298.532,0.023759907,7638.095,3.8609,0.130764831,0.008925515,0.689121832,82.2815
350,59669.525,16.5058,0.5296,14.08,13.098,40799.422,0,Zion,2015-12-31,16.12,52162.006,24.726,1239.173,0.01995363,7507.519,4.1604,0.125818313,0.008578553,0.68375644,80.9929
542,59179.913,14.4729,0.5275,13.87,36.299,41526.949,0,Zion,2016-03-31,15.97,51554.176,22.059,1103.662,0.019987097,7625.737,4.0833,0.128856847,0.013051765,0.701706827,83.2406
548,59642.992,13.5549,0.6913,13.42,38.041,42648.087,0,Zion,2016-06-30,15.5,52016.609,22.103,1033.747,0.021381441,7626.383,5.3821,0.12786721,0.012849345,0.715056129,84.8365
579,61038.86,22.7568,0.7265,13.48,30,42700.007,0,Zion,2016-09-30,15.31,53359.553,22,1747.561,0.012588974,7679.307,5.6651,0.125810131,0.013559717,0.699554464,83.9747
569,63239,18.6927,0.7622,13.5,28,42821,0,Zion,2016-12-31,15.2,55605,21,1427,0.014716188,7634,6.1868,0.120716646,0.013287873,0.677129619,80.4362
585,65463,46.3131,0.8295,13.64,46,42870,0,Zion,2017-03-31,15.34,57733,26,3580,0.00726257,7730,6.733,0.11808197,0.013645906,0.654873745,80.1683
486,65446,61.7886,0.913,13.41,7,43736,0,Zion,2017-06-30,15.1,57697,30,4788,0.006265664,7749,7.4275,0.118402958,0.011112127,0.668276136,83.5007
